Name,Address,BusinessDays,BusinessHours,ToursandTasting,Area,Link,lon,lat
JOSEPH PHELPS VINEYARDS,200 TAPLIN RD,Sun - Sat,"10 AM - 4 PM, 10 AM - 5 PM",Tasting Appointment,Zinfandel,http://www.josephphelps.com/,-122.428773,38.50726613
SEVEN STONES WINERY,844 MEADOWOOD LN,By Appointment,By Appointment,Appointment,St. Helena,http://www.sevenstoneswinery.com/,-122.4545137,38.52271788
SEAVEY VINEYARD,1310 CONN VALLEY RD,Sun - Sat,10 AM - 3:30 PM,Appointment,Zinfandel,http://www.seaveyvineyard.com/,-122.3963919,38.5082442
HEITZ WINE CELLARS,500 TAPLIN RD,Thurs - Mon,11 AM - 3:30 PM,Appointment,Zinfandel,http://heitzcellar.com/,-122.4177917,38.50210554
ANDERSON'S CONN VALLEY WINERY,680 ROSSI RD,Sun - Sat,9 AM - 5 PM,Appointment,St. Helena,https://connvalleyvineyards.com/,-122.4114255,38.51261132
BUEHLER VINEYARDS,820 GREENFIELD RD,Mon - Fri,10 AM - 4 PM,Tasting Appointment,Zinfandel,http://www.buehlervineyards.com/,-122.3806619,38.51252128
VOLKER EISELE FAMILY ESTATE,3080 LOWER CHILES VALLEY RD,Sun - Sat,10 AM - 6 PM,Appointment,Zinfandel,http://www.volkereiselefamilyestate.com/,-122.3261577,38.53254765
GREEN AND RED VINEYARD,3206 CHILES POPE VALLEY RD,By Appointment,By Appointment,Appointment,Zinfandel,http://greenandred.com/,-122.3394038,38.52996919
SOMERSTON WINERY,3450 SAGE CANYON RD,Sun - Sat,10 AM - 4 PM,Appointment,Rutherford,https://www.somerstonestate.com/,-122.2674008,38.5193597
NICHELINI VINEYARDS,2950 SAGE CANYON RD,Thurs - Sun,"1-5 PM, 11 AM - 5PM",Appointment,Rutherford,https://www.nicheliniwinery.com/,-122.2936746,38.49888776
AONAIR WINERY,647 GREENFIELD RD,Mon - Sat,10 AM - 4 PM,Appointment,Zinfandel,http://www.aonairwinery.com/,-122.3908548,38.51115401
